periode,m1,m2,n,DM,pval,sig
2004,LinearRegression,Ridge + Bagging,12,-0.39968320929083734,0.6893898606771927,
2005,AR(1),AR(p),12,-3.321544111580685,0.0008952083052435889,***
2005,AR(1),LightGBM + Bagging,12,-2.4051489328834514,0.016165876051314143,**
2005,AR(1),LinearRegression,12,-4.118434828452404,3.814544138247555e-05,***
2005,AR(1),Ridge + Bagging,12,-4.6372123846381506,3.5313950146331763e-06,***
2005,AR(p),LightGBM + Bagging,12,0.32236700503190585,0.7471746772828309,
2005,AR(p),LinearRegression,12,-0.46827652865985026,0.6395868510200229,
2005,AR(p),Ridge + Bagging,12,-1.7453163186550782,0.08092982290496842,*
2005,LightGBM + Bagging,LinearRegression,12,-0.8756265432970778,0.3812330906862398,
2005,LightGBM + Bagging,Ridge + Bagging,12,-3.8640656802581823,0.00011151521529662034,***
2005,LinearRegression,Ridge + Bagging,12,-1.806206756289448,0.07088604998323733,*
2006,AR(1),AR(p),12,-19.72076386430813,0.0,***
2006,AR(1),LightGBM + Bagging,12,0.23180866558578456,0.8166866262047154,
2006,AR(1),LinearRegression,12,-1.6526194465241093,0.09840833779919933,*
2006,AR(1),Ridge + Bagging,12,-2.784718780555286,0.0053574165248087,***
2006,AR(p),LightGBM + Bagging,12,3.737130506764061,0.00018613232544173464,***
2006,AR(p),LinearRegression,12,0.05719590663828168,0.9543891388539274,
2006,AR(p),Ridge + Bagging,12,-0.9156963051940701,0.35982620347321115,
2006,LightGBM + Bagging,LinearRegression,12,-3.174856591735515,0.0014991056970745653,***
2006,LightGBM + Bagging,Ridge + Bagging,12,-6.2009315288238245,5.61299451362629e-10,***
2006,LinearRegression,Ridge + Bagging,12,-5.305793042843423,1.1218418283220899e-07,***
2007,AR(1),AR(p),12,2.964424144021403,0.003032499966942881,***
2007,AR(1),LightGBM + Bagging,12,2.1526686010292457,0.031344732865556946,**
2007,AR(1),LinearRegression,12,2.0979469746989468,0.035909829741958,**
2007,AR(1),Ridge + Bagging,12,2.1993414677780008,0.0278536512098424,**
2007,AR(p),LightGBM + Bagging,12,1.8223481634923144,0.06840217453756203,*
2007,AR(p),LinearRegression,12,1.6367715037596706,0.1016782220427559,
2007,AR(p),Ridge + Bagging,12,1.8648028563781152,0.06220904278505346,*
2007,LightGBM + Bagging,LinearRegression,12,-2.1053641973807817,0.035259617820156075,**
2007,LightGBM + Bagging,Ridge + Bagging,12,0.25903938056057424,0.7956048559092241,
2007,LinearRegression,Ridge + Bagging,12,2.436305280394798,0.014838155858390323,**
2008,AR(1),AR(p),12,1.1879211408521244,0.2348644798238344,
2008,AR(1),LightGBM + Bagging,12,11.796756225214262,0.0,***
2008,AR(1),LinearRegression,12,7.539124374522266,4.729550084903167e-14,***
2008,AR(1),Ridge + Bagging,12,11.11838156948596,0.0,***
2008,AR(p),LightGBM + Bagging,12,6.331345123601654,2.4303314916096497e-10,***
2008,AR(p),LinearRegression,12,5.2621270431438285,1.4239831269691194e-07,***
2008,AR(p),Ridge + Bagging,12,6.505490226713502,7.744027641365392e-11,***
2008,LightGBM + Bagging,LinearRegression,12,-0.10768353200982056,0.9142467330968886,
2008,LightGBM + Bagging,Ridge + Bagging,12,-0.04383386668091837,0.9650368313112745,
2008,LinearRegression,Ridge + Bagging,12,0.12196684017856163,0.9029252798662242,
2009,AR(1),AR(p),12,-4.695027056651827,2.665714379901374e-06,***
2009,AR(1),LightGBM + Bagging,12,-0.6777881618141895,0.4979060180718349,
2009,AR(1),LinearRegression,12,0.07329067820360434,0.9415748094674146,
2009,AR(1),Ridge + Bagging,12,-0.37201751455900256,0.7098798090329366,
2009,AR(p),LightGBM + Bagging,12,0.41731658056435733,0.6764468623345039,
2009,AR(p),LinearRegression,12,1.0556426698159485,0.2911314986218916,
2009,AR(p),Ridge + Bagging,12,0.6268430844058058,0.5307620985053423,
2009,LightGBM + Bagging,LinearRegression,12,2.942089570011778,0.003260056171506154,***
2009,LightGBM + Bagging,Ridge + Bagging,12,1.721846090976175,0.08509740271150878,*
2009,LinearRegression,Ridge + Bagging,12,-4.10503038769794,4.042617359845124e-05,***
2010,AR(1),AR(p),12,6.034705420617245,1.592529219607286e-09,***
2010,AR(1),LightGBM + Bagging,12,2.522502105377089,0.011652325264020824,**
2010,AR(1),LinearRegression,12,2.4966400250682708,0.01253761582849755,**
2010,AR(1),Ridge + Bagging,12,2.6845934248751844,0.007261808463531416,***
2010,AR(p),LightGBM + Bagging,12,0.5398036303525136,0.5893324631896906,
2010,AR(p),LinearRegression,12,0.2729609938678319,0.7848831997068826,
2010,AR(p),Ridge + Bagging,12,0.6104768042418218,0.5415460043770384,
2010,LightGBM + Bagging,LinearRegression,12,-2.7687477825063187,0.005627217845329824,***
2010,LightGBM + Bagging,Ridge + Bagging,12,0.16817601986182576,0.8664448056169205,
2010,LinearRegression,Ridge + Bagging,12,8.376431544596654,0.0,***
2011,AR(1),AR(p),12,1.7598529924617876,0.07843273532803452,*
2011,AR(1),LightGBM + Bagging,12,0.6702180498514202,0.5027187991734308,
2011,AR(1),LinearRegression,12,1.2464866236370955,0.21258579700618752,
2011,AR(1),Ridge + Bagging,12,1.1451008808760008,0.2521673706481877,
2011,AR(p),LightGBM + Bagging,12,-5.185907128754071,2.1496592017555827e-07,***
2011,AR(p),LinearRegression,12,-2.1359738274509383,0.03268154718221705,**
2011,AR(p),Ridge + Bagging,12,-3.175438892450224,0.0014961002864977146,***
2011,LightGBM + Bagging,LinearRegression,12,4.643399936919006,3.4272201474561115e-06,***
